alias_id,global_entity_id,alias,alias_type,source_package
vwa:country:india:bharat,vw:country:india,Bharat,VARIANT,Package001_Geography
vwa:country:india:in,vw:country:india,IN,SHORT_FORM,Package001_Geography
vwa:state:telangana:tg,vw:state:telangana,TG,SHORT_FORM,Package001_Geography
vwa:state:telangana:tg,vw:state:telangana,TG,SHORT_FORM,Package001_Geography
vwa:state:andhra-pradesh:ap,vw:state:andhra-pradesh,AP,SHORT_FORM,Package001_Geography
vwa:state:andhra-pradesh:ap,vw:state:andhra-pradesh,AP,SHORT_FORM,Package001_Geography
vwa:district:adilabad:tg-adb,vw:district:adilabad,TG-ADB,SHORT_FORM,Package001_Geography
vwa:district:kumuram-bheem-asifabad:tg-kba,vw:district:kumuram-bheem-asifabad,TG-KBA,SHORT_FORM,Package001_Geography
vwa:district:mancherial:tg-mcl,vw:district:mancherial,TG-MCL,SHORT_FORM,Package001_Geography
vwa:district:nirmal:tg-nrm,vw:district:nirmal,TG-NRM,VARIANT,Package001_Geography
vwa:district:nizamabad:tg-nzb,vw:district:nizamabad,TG-NZB,SHORT_FORM,Package001_Geography
vwa:district:jagtial:tg-jgt,vw:district:jagtial,TG-JGT,SHORT_FORM,Package001_Geography
vwa:district:peddapalli:tg-pdp,vw:district:peddapalli,TG-PDP,SHORT_FORM,Package001_Geography
vwa:district:kamareddy:tg-kmr,vw:district:kamareddy,TG-KMR,SHORT_FORM,Package001_Geography
vwa:district:rajanna-sircilla:tg-rsl,vw:district:rajanna-sircilla,TG-RSL,SHORT_FORM,Package001_Geography
vwa:district:karimnagar:tg-krm,vw:district:karimnagar,TG-KRM,SHORT_FORM,Package001_Geography
vwa:district:jayashankar-bhupalpally:tg-jsb,vw:district:jayashankar-bhupalpally,TG-JSB,SHORT_FORM,Package001_Geography
vwa:district:sangareddy:tg-sng,vw:district:sangareddy,TG-SNG,SHORT_FORM,Package001_Geography
vwa:district:medak:tg-mdk,vw:district:medak,TG-MDK,VARIANT,Package001_Geography
vwa:district:siddipet:tg-sdp,vw:district:siddipet,TG-SDP,SHORT_FORM,Package001_Geography
vwa:district:jangaon:tg-jng,vw:district:jangaon,TG-JNG,SHORT_FORM,Package001_Geography
vwa:district:hanumakonda:tg-hnk,vw:district:hanumakonda,TG-HNK,SHORT_FORM,Package001_Geography
vwa:district:warangal:tg-wgl,vw:district:warangal,TG-WGL,SHORT_FORM,Package001_Geography
vwa:district:mulugu:tg-mlg,vw:district:mulugu,TG-MLG,VARIANT,Package001_Geography
vwa:district:bhadradri-kothagudem:tg-bkg,vw:district:bhadradri-kothagudem,TG-BKG,SHORT_FORM,Package001_Geography
vwa:district:khammam:tg-khm,vw:district:khammam,TG-KHM,SHORT_FORM,Package001_Geography
vwa:district:mahabubabad:tg-mbd,vw:district:mahabubabad,TG-MBD,SHORT_FORM,Package001_Geography
vwa:district:suryapet:tg-sry,vw:district:suryapet,TG-SRY,SHORT_FORM,Package001_Geography
vwa:district:nalgonda:tg-nlg,vw:district:nalgonda,TG-NLG,SHORT_FORM,Package001_Geography
vwa:district:yadadri-bhuvanagiri:tg-ydb,vw:district:yadadri-bhuvanagiri,TG-YDB,SHORT_FORM,Package001_Geography
vwa:district:medchal-malkajgiri:tg-mcg,vw:district:medchal-malkajgiri,TG-MCG,SHORT_FORM,Package001_Geography
vwa:district:hyderabad:tg-hyd,vw:district:hyderabad,TG-HYD,SHORT_FORM,Package001_Geography
vwa:district:ranga-reddy:tg-rrd,vw:district:ranga-reddy,TG-RRD,SHORT_FORM,Package001_Geography
vwa:district:vikarabad:tg-vkb,vw:district:vikarabad,TG-VKB,SHORT_FORM,Package001_Geography
vwa:district:narayanpet:tg-nrp,vw:district:narayanpet,TG-NRP,SHORT_FORM,Package001_Geography
vwa:district:mahabubnagar:tg-mbn,vw:district:mahabubnagar,TG-MBN,SHORT_FORM,Package001_Geography
vwa:district:nagarkurnool:tg-ngk,vw:district:nagarkurnool,TG-NGK,SHORT_FORM,Package001_Geography
vwa:district:wanaparthy:tg-wnp,vw:district:wanaparthy,TG-WNP,SHORT_FORM,Package001_Geography
vwa:district:jogulamba-gadwal:tg-jgd,vw:district:jogulamba-gadwal,TG-JGD,SHORT_FORM,Package001_Geography
vwa:district:srikakulam:ap-sri,vw:district:srikakulam,AP-SRI,SHORT_FORM,Package001_Geography
vwa:district:parvathipuram-manyam:ap-par,vw:district:parvathipuram-manyam,AP-PAR,SHORT_FORM,Package001_Geography
vwa:district:vizianagaram:ap-viz,vw:district:vizianagaram,AP-VIZ,SHORT_FORM,Package001_Geography
vwa:district:visakhapatnam:ap-vis,vw:district:visakhapatnam,AP-VIS,SHORT_FORM,Package001_Geography
vwa:district:alluri-sitharama-raju:ap-all,vw:district:alluri-sitharama-raju,AP-ALL,SHORT_FORM,Package001_Geography
vwa:district:anakapalli:ap-ank,vw:district:anakapalli,AP-ANK,SHORT_FORM,Package001_Geography
vwa:district:polavaram:ap-pol,vw:district:polavaram,AP-POL,SHORT_FORM,Package001_Geography
vwa:district:kakinada:ap-kak,vw:district:kakinada,AP-KAK,SHORT_FORM,Package001_Geography
vwa:district:east-godavari:ap-eas,vw:district:east-godavari,AP-EAS,SHORT_FORM,Package001_Geography
vwa:district:dr-b-r-ambedkar-konaseema:ap-kon,vw:district:dr-b-r-ambedkar-konaseema,AP-KON,SHORT_FORM,Package001_Geography
vwa:district:eluru:ap-elu,vw:district:eluru,AP-ELU,VARIANT,Package001_Geography
vwa:district:west-godavari:ap-wes,vw:district:west-godavari,AP-WES,SHORT_FORM,Package001_Geography
vwa:district:ntr:ap-ntr,vw:district:ntr,AP-NTR,VARIANT,Package001_Geography
vwa:district:krishna:ap-kri,vw:district:krishna,AP-KRI,SHORT_FORM,Package001_Geography
vwa:district:palnadu:ap-pal,vw:district:palnadu,AP-PAL,SHORT_FORM,Package001_Geography
vwa:district:guntur:ap-gun,vw:district:guntur,AP-GUN,VARIANT,Package001_Geography
vwa:district:bapatla:ap-bap,vw:district:bapatla,AP-BAP,SHORT_FORM,Package001_Geography
vwa:district:prakasam:ap-pra,vw:district:prakasam,AP-PRA,SHORT_FORM,Package001_Geography
vwa:district:markapuram:ap-mar,vw:district:markapuram,AP-MAR,SHORT_FORM,Package001_Geography
vwa:district:sri-potti-sriramulu-nellore:ap-nel,vw:district:sri-potti-sriramulu-nellore,AP-NEL,SHORT_FORM,Package001_Geography
vwa:district:kurnool:ap-kur,vw:district:kurnool,AP-KUR,SHORT_FORM,Package001_Geography
vwa:district:nandyal:ap-nan,vw:district:nandyal,AP-NAN,SHORT_FORM,Package001_Geography
